order_id,customer_email,gross_amount,payment_method,order_status,created_at
order_300038RP,cust7918@example.com,118174,prepaid_razorpay,completed,2026-07-13
order_300039RP,cust5237@example.com,346241,prepaid_razorpay,completed,2026-07-13
order_300021RP,cust8216@example.com,723196,prepaid_razorpay,completed,2026-07-11
order_300032RP,cust2377@example.com,161530,prepaid_razorpay,completed,2026-07-11
order_300022RP,cust1296@example.com,277498,prepaid_razorpay,completed,2026-07-05
order_300037RP,cust3122@example.com,581732,prepaid_razorpay,completed,2026-08-09
order_300073RP,cust1825@example.com,821615,prepaid_razorpay,completed,2026-07-02
order_300079RP,cust4372@example.com,160228,prepaid_razorpay,completed,2026-08-03
order_300023RP,cust7297@example.com,365539,prepaid_razorpay,completed,2026-07-05
order_300046RP,cust2465@example.com,502460,prepaid_razorpay,completed,2026-07-31
order_300050RP,cust7968@example.com,316709,prepaid_razorpay,completed,2026-07-02
order_300030RP,cust4744@example.com,230654,prepaid_razorpay,completed,2026-07-11
order_300070RP,cust2793@example.com,407314,prepaid_razorpay,completed,2026-07-23
order_300025RP,cust9477@example.com,376071,prepaid_razorpay,completed,2026-08-12
order_300056RP,cust2372@example.com,438870,prepaid_razorpay,completed,2026-08-08
order_300064RP,cust7844@example.com,726617,prepaid_razorpay,completed,2026-07-01
order_300043RP,cust9434@example.com,857257,prepaid_razorpay,completed,2026-07-31
order_300036RP,cust5430@example.com,119977,prepaid_razorpay,completed,2026-08-09
order_300071RP,cust3645@example.com,788316,prepaid_razorpay,completed,2026-07-23
order_300060RP,cust2993@example.com,445788,prepaid_razorpay,completed,2026-07-01
order_300008RP,cust4665@example.com,520900,prepaid_razorpay,completed,2026-08-06
order_300011RP,cust9447@example.com,492497,prepaid_razorpay,completed,2026-08-06
order_GHOST900000RP,cust3914@example.com,275040,prepaid_razorpay,completed,2026-07-18
order_300009RP,cust3645@example.com,568438,prepaid_razorpay,completed,2026-08-06
order_300028RP,cust2053@example.com,623869,prepaid_razorpay,completed,2026-07-11
order_300075RP,cust4305@example.com,428500,prepaid_razorpay,completed,2026-07-02
order_300051RP,cust2186@example.com,223946,prepaid_razorpay,completed,2026-07-02
order_300035RP,cust3974@example.com,478378,prepaid_razorpay,completed,2026-08-12
order_300054RP,cust2451@example.com,440749,prepaid_razorpay,completed,2026-07-13
order_300053RP,cust1275@example.com,717299,prepaid_razorpay,completed,2026-07-13
order_300016RP,cust6842@example.com,882652,prepaid_razorpay,completed,2026-07-30
order_300019RP,cust6995@example.com,334555,prepaid_razorpay,failed,2026-07-11
order_300061RP,cust8434@example.com,185214,prepaid_razorpay,completed,2026-07-01
order_300013RP,cust6556@example.com,791270,prepaid_razorpay,completed,2026-07-30
order_300069RP,cust4906@example.com,601723,prepaid_razorpay,completed,2026-07-26
order_300081RP,cust8302@example.com,568518,prepaid_razorpay,completed,2026-08-03
order_300068RP,cust9632@example.com,882766,prepaid_razorpay,completed,2026-07-26
order_300017RP,cust6218@example.com,132617,prepaid_razorpay,completed,2026-07-30
order_300040RP,cust7651@example.com,130258,prepaid_razorpay,completed,2026-07-02
order_300020RP,cust6537@example.com,462007,prepaid_razorpay,pending,2026-07-11
order_300034RP,cust5455@example.com,630629,prepaid_razorpay,failed,2026-08-12
order_300078RP,cust9701@example.com,705054,prepaid_razorpay,completed,2026-08-03
order_300044RP,cust9103@example.com,489484,prepaid_razorpay,completed,2026-07-31
order_300007RP,cust3667@example.com,500297,prepaid_razorpay,completed,2026-07-06
order_300063RP,cust6556@example.com,319190,prepaid_razorpay,completed,2026-07-01
order_300012RP,cust7616@example.com,486821,prepaid_razorpay,completed,2026-07-30
order_300077RP,cust5997@example.com,559343,prepaid_razorpay,completed,2026-08-03
order_300018RP,cust2510@example.com,325806,prepaid_razorpay,completed,2026-07-11
order_300049RP,cust4003@example.com,707678,prepaid_razorpay,completed,2026-07-02
order_300074RP,cust3967@example.com,337692,prepaid_razorpay,completed,2026-07-02
order_GHOST900001RP,cust1297@example.com,206150,prepaid_razorpay,completed,2026-07-17
order_300002RP,cust8663@example.com,73043,prepaid_razorpay,completed,2026-07-06
order_300076RP,cust6111@example.com,537413,prepaid_razorpay,completed,2026-07-02
order_300005RP,cust7525@example.com,145762,prepaid_razorpay,completed,2026-07-06
order_300024RP,cust6431@example.com,672276,prepaid_razorpay,completed,2026-08-12
order_300027RP,cust9392@example.com,461861,prepaid_razorpay,completed,2026-08-12
order_300010RP,cust8070@example.com,461781,prepaid_razorpay,completed,2026-08-06
order_300042RP,cust9791@example.com,49993,prepaid_razorpay,completed,2026-07-31
order_300048RP,cust1942@example.com,493255,prepaid_razorpay,completed,2026-07-02
order_300047RP,cust5572@example.com,701486,prepaid_razorpay,completed,2026-07-02
order_300058RP,cust2091@example.com,449808,prepaid_razorpay,completed,2026-08-08
order_300055RP,cust5268@example.com,198371,prepaid_razorpay,completed,2026-07-13
order_300014RP,cust7902@example.com,664517,prepaid_razorpay,completed,2026-07-30
order_300045RP,cust6358@example.com,157444,prepaid_razorpay,completed,2026-07-31
order_300031RP,cust2716@example.com,102097,prepaid_razorpay,completed,2026-07-11
order_300029RP,cust2848@example.com,360884,prepaid_razorpay,completed,2026-07-11
order_300041RP,cust3447@example.com,454519,prepaid_razorpay,completed,2026-07-02
order_300080RP,cust5750@example.com,153056,prepaid_razorpay,completed,2026-08-03
order_300052RP,cust5406@example.com,735915,prepaid_razorpay,completed,2026-07-02
order_300065RP,cust5388@example.com,731557,prepaid_razorpay,completed,2026-07-26
order_300057RP,cust4643@example.com,323732,prepaid_razorpay,completed,2026-08-08
order_300015RP,cust4207@example.com,280406,prepaid_razorpay,completed,2026-07-30
order_300059RP,cust5332@example.com,887067,prepaid_razorpay,completed,2026-08-08
order_300033RP,cust5351@example.com,859095,prepaid_razorpay,completed,2026-08-12
order_300062RP,cust1189@example.com,716448,prepaid_razorpay,completed,2026-07-01
order_300067RP,cust1707@example.com,748964,prepaid_razorpay,completed,2026-07-26
order_300026RP,cust5840@example.com,827530,prepaid_razorpay,completed,2026-08-12
order_300072RP,cust5290@example.com,748655,prepaid_razorpay,completed,2026-07-23
order_300066RP,cust3117@example.com,157072,prepaid_razorpay,completed,2026-07-26
order_300004RP,cust2542@example.com,514198,prepaid_razorpay,completed,2026-07-06
order_300003RP,cust4597@example.com,222241,prepaid_razorpay,completed,2026-07-06
order_300006RP,cust8983@example.com,394551,prepaid_razorpay,completed,2026-07-06
